evyear evjday evmonth evday evhour evmin evsec evmsec evla evlo evdp 
2009 9 1 9 21 39 22 730399 65.1132 -16.8746 1.39941 
2009 10 1 10 2 0 29 83100 65.0802 -16.2687 5.22754 
2009 10 1 10 2 1 16 120100 65.0816 -16.2872 5.36426 
2009 10 1 10 5 54 16 614699 65.0775 -16.4692 2.43457 
2009 10 1 10 6 4 23 421399 65.0778 -16.4839 3.66992 
2009 10 1 10 6 56 34 732900 65.1179 -16.3851 4.12891 
2009 10 1 10 6 57 57 454500 65.1165 -16.3862 3.23535 
2009 10 1 10 7 14 54 788600 65.1149 -16.392 3.15234 
2009 10 1 10 7 16 34 676999 65.1222 -16.3865 6.52637 
2009 10 1 10 9 34 18 812599 65.132 -16.5826 4.4707 
2009 10 1 10 15 16 46 583399 65.2082 -16.4384 16.6729 
2009 10 1 10 15 27 47 139600 65.122 -16.8949 2.63477 
2009 10 1 10 18 13 47 98300 65.1478 -16.347 4.19238 
2009 10 1 10 18 20 40 413699 65.2107 -16.4692 21.0039 
2009 10 1 10 21 4 7 487519 65.0943 -16.4019 11.248 
2009 11 1 11 0 32 43 633000 65.0309 -16.2435 4.41699 
2009 11 1 11 0 38 3 666310 65.1688 -16.3595 0.803711 
2009 11 1 11 0 43 50 576200 65.2139 -16.221 0.681641 
2009 11 1 11 2 48 17 668199 65.0151 -16.6728 3.1084 
2009 11 1 11 4 28 19 217099 65.1669 -16.2642 7.47852 
2009 11 1 11 5 39 38 856000 65.1571 -16.2504 5.14941 
2009 11 1 11 7 53 0 441281 65.0839 -16.2675 5.54004 
2009 11 1 11 8 13 36 72200 65.0197 -16.6815 2.61035 
2009 11 1 11 8 45 3 459789 65.1652 -16.4709 3.81152 
2009 11 1 11 10 48 7 229470 65.0098 -16.6654 3.3623 
2009 11 1 11 13 50 31 262100 65.0174 -16.6782 2.5957 
2009 11 1 11 16 34 2 719869 65.0764 -16.2527 5.56445 
2009 11 1 11 21 1 38 520899 65.2207 -16.4164 5.54004 
2009 11 1 11 22 52 37 707500 65.0776 -16.2557 5.9209 
2009 11 1 11 23 24 48 672499 65.1977 -16.4224 16.3311 
2009 11 1 11 23 25 8 946690 65.2027 -16.4373 15.8623 
2009 11 1 11 23 27 7 99940 65.2077 -16.4235 17.0928 
2009 12 1 12 2 15 9 479139 65.0719 -16.2571 5.45215 
2009 12 1 12 2 46 26 278800 65.0169 -16.6702 2.70801 
2009 12 1 12 2 46 29 211800 65.0677 -16.3523 10.1348 
2009 12 1 12 3 5 17 190000 65.0137 -16.6667 2.92285 
2009 12 1 12 3 12 39 617800 65.0104 -16.6703 2.84473 
2009 12 1 12 3 24 23 632600 65.0665 -16.2546 6.3457 
2009 12 1 12 5 45 26 726500 65.0722 -16.2625 5.80371 
2009 12 1 12 9 32 26 132999 65.0178 -16.6742 2.54199 
2009 12 1 12 12 35 55 695999 65.0175 -16.4617 4.16309 
2009 12 1 12 12 39 40 576099 65.1803 -16.2676 2.52246 
2009 12 1 12 19 38 26 466400 65.0843 -16.2604 5.46191 
2009 12 1 12 21 6 37 375900 65.1222 -16.3238 3.56738 
